city,lat,lng,country,iso3,local_name,population,continent
Nagato,34.3711,131.1822,Japan,JPN,Yamaguchi,32183.0,Asia
Vintar,18.225,120.65,Philippines,PHL,Ilocos Norte,32220.0,Asia
Capulhuac,19.2,-99.4667,Mexico,MEX,México,30838.0,North America
Dania Beach,26.0594,-80.1637,United States,USA,Florida,32271.0,North America
Kangasala,61.4639,24.065,Finland,FIN,Pirkanmaa,32229.0,Europe
Luuk,5.9676,121.3133,Philippines,PHL,Sulu,32162.0,Asia
Mendez-Nuñez,14.1286,120.9058,Philippines,PHL,Cavite,31529.0,Asia
Āreka,7.0667,37.7,Ethiopia,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,31408.0,Africa
Bandeirantes,-23.11,-50.3678,Brazil,BRA,Paraná,32184.0,South America
Oer-Erkenschwick,51.6422,7.2508,Germany,DEU,North Rhine-Westphalia,31442.0,Europe
Cheb,50.0798,12.374,Czechia,CZE,Karlovarský Kraj,31920.0,Europe
Lonneker,52.2506,6.9119,Netherlands,NLD,Overijssel,31129.0,Europe
Bowling Green,41.3773,-83.65,United States,USA,Ohio,32249.0,North America
Tuzantán,15.15,-92.4167,Mexico,MEX,Chiapas,31755.0,North America
Wevelgem,50.8081,3.1839,Belgium,BEL,Flanders,31412.0,Europe
Springfield,38.7809,-77.1839,United States,USA,Virginia,32222.0,North America
Igbaras,10.7167,122.2667,Philippines,PHL,Iloilo,32004.0,Asia
Lower Macungie,40.5303,-75.57,United States,USA,Pennsylvania,32218.0,North America
Primorsko-Akhtarsk,46.05,38.1833,Russia,RUS,Krasnodarskiy Kray,32180.0,Europe
Itatiaia,-22.4914,-44.5592,Brazil,BRA,Rio de Janeiro,32064.0,South America
Xangda,32.2056,96.4751,China,CHN,Qinghai,32175.0,Asia
Pedana,16.2667,81.1667,India,IND,Andhra Pradesh,30721.0,Asia
Grottaglie,40.5333,17.4333,Italy,ITA,Puglia,31890.0,Europe
